~                     val  A   X   a   B   J   b   C   c   D   d   E   e   F   f   U   G   g   H   h   I   L   Q   Z   u   M   m   q   v   o   x   N   n   Y   O   P   R   r   y   z   t   K   k   T   V   W   w   j   p   t
Luverne(u)             ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  26   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  33
Mankato(M)             ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  51  43   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  30   ~   ~   ~   ~   ~   ~   ~   ~  13   ~   ~   ~   ~  29   ~  65   ~   ~
Marshall(m)            ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  39   ~   ~  82   ~   ~   ~  43   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  68  73   ~   ~
Minneapolis(q)         ~   ~   ~   ~   ~   ~   ~ 136   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  61   ~   ~  67   ~   ~   ~   ~   ~   ~   ~   ~   ~  43   ~   ~   ~   ~   ~  68   9   ~  22  27   ~   ~   ~   ~   ~   ~   ~
Montevideo(v)          ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  68   ~   ~   ~   ~   ~   ~  39   ~   ~   ~  51 101   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  37   ~   ~   ~
Moorhead(o)            ~   ~   ~   ~   ~   ~   ~   ~  68  44   ~  80   ~   ~   ~  58   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~
Morris(x)              ~   ~  47   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  53   ~   ~   ~   ~   ~   ~   ~  96   ~   ~   ~   ~  51   ~   ~   ~   ~   ~   ~   ~   ~   ~  93   ~   ~   ~   ~   ~   ~   ~  54   ~   ~   ~
NewUlm(N)              ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  44   ~   ~   ~   ~   ~  30  82   ~ 101   ~   ~   ~   ~   ~   ~ 105   ~   ~   ~   ~  29   ~   ~   ~   ~   ~  81  62   ~   ~
Northfield(n)          ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  14   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  43   ~   ~   ~   ~   ~   ~   ~   ~  37  54   ~  45   ~  35   ~   ~   ~   ~   ~   ~   ~   ~
Noyes(Y)               ~   ~   ~   ~ 144   ~   ~   ~  88   ~   ~  86   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  79   ~   ~   ~   ~   ~   ~
Owatonna(O)            ~  35   ~  34   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  16   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  42   ~   ~   ~   ~   ~   ~   ~  18   ~   ~   ~   ~
Pipestone(P)           ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  26   ~  43   ~   ~   ~   ~ 105   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  66   ~   ~
RedWing(R)             ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  37   ~   ~   ~   ~  46   ~  52   ~   ~  48   ~   ~   ~   ~   ~  63   ~
Rochester(r)           ~   ~   ~  41   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  59   ~   ~   ~   ~   ~   ~  71   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  54   ~  42   ~  46   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  52   ~
SaintCloud(y)          ~   ~  68   ~   ~   ~   ~ 127   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  49   ~   ~  41  34   ~   ~   ~  68   ~   ~  93   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  77  85   ~   ~   ~  61   ~   ~   ~
SaintPaul(z)           ~   ~   ~   ~   ~   ~   ~ 133   ~   ~   ~   ~   ~   ~  51   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   9   ~   ~   ~   ~  45   ~   ~   ~  52   ~   ~   ~   ~  29  20   ~   ~   ~   ~   ~   ~   ~
SaintPeter(t)          ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  38   ~   ~   ~   ~  59   ~   ~   ~   ~   ~  13   ~   ~   ~   ~   ~  29   ~   ~   ~   ~   ~   ~   ~   ~   ~  46   ~   ~   ~   ~   ~   ~   ~   ~
Shakopee(K)            ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  41   ~   ~   ~   ~  52   ~   ~   ~   ~   ~   ~   ~  22   ~   ~   ~   ~  35   ~   ~   ~   ~   ~  77  29  46   ~   ~   ~   ~   ~   ~   ~   ~   ~
Stillwater(k)          ~   ~   ~   ~   ~   ~   ~ 139   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  27   ~   ~   ~   ~   ~   ~   ~   ~  48   ~  85  20   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~
ThiefRiverFalls(T)     ~   ~   ~   ~ 122  92   ~   ~  44  96   ~  50   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  79   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~
Virginia(V)            ~   ~   ~   ~   ~   ~   ~  60   ~   ~  64   ~  49   ~   ~   ~ 217   ~  23   ~  97   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~
Waseca(W)              ~  33   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  31   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  29   ~   ~   ~   ~   ~   ~   ~   ~  18   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~
Willmar(w)             ~   ~  65   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  28   ~   ~   ~  68   ~  37   ~  54  81   ~   ~   ~   ~   ~   ~  61   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~
Windom(j)              ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  49   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  65  73   ~   ~   ~   ~  62   ~   ~   ~  66   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  30
Winona(p)              ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  26   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  63  52   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~
Worthington(t)         ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  61   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  33   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  30   ~   ~
